Emotion,Labels,ID_NO,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6104,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6027,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6012,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6015,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6017,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6129,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6045,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6051,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6104,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6125,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6125,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6125,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6125,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6024,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6125,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6049,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6125,,,,,,,,,,,,,,,,,,,,
Negative,kids+health,6056,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6015,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6024,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6015,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6090,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6082,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6070,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6023,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6012,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6098,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6043,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6013,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6069,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6015,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6096,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6107,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6084,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6127,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,028,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6018,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6064,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6068,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6045,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6070,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6138,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6075,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6042,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6117,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6073,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6007,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6005,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,Tester,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6007,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6015,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6023,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6070,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6090,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6043,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6084,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6041,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6096,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6084,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6001,,,,,,,,,,,,,,,,,,,,
